left,right,cosine_similarity
data__gallery__cyy1,data__gallery__cyy2,0.02791307
data__gallery__cyy1,data__gallery__cyy3,0.16107714
data__gallery__cyy1,data__gallery__cyy4,-0.03795221
data__gallery__cyy1,data__mask__1,-0.06511834
data__gallery__cyy1,data__mask__10,0.15700401
data__gallery__cyy1,data__mask__11,0.10995407
data__gallery__cyy1,data__mask__12,0.23471086
data__gallery__cyy1,data__mask__13,0.28345454
data__gallery__cyy1,data__mask__14,0.17528616
data__gallery__cyy1,data__mask__15,0.22192404
data__gallery__cyy1,data__mask__16,0.02872610
data__gallery__cyy1,data__mask__17,0.10580188
data__gallery__cyy1,data__mask__18,-0.07318632
data__gallery__cyy1,data__mask__19,-0.04563145
data__gallery__cyy1,data__mask__2,-0.04334278
data__gallery__cyy1,data__mask__20,-0.06802495
data__gallery__cyy1,data__mask__21,0.06097495
data__gallery__cyy1,data__mask__22,0.01140168
data__gallery__cyy1,data__mask__23,-0.02631890
data__gallery__cyy1,data__mask__24,-0.02377472
data__gallery__cyy1,data__mask__25,0.00688866
data__gallery__cyy1,data__mask__26,-0.05584069
data__gallery__cyy1,data__mask__27,-0.08241223
data__gallery__cyy1,data__mask__28,0.02174981
data__gallery__cyy1,data__mask__29,-0.08832264
data__gallery__cyy1,data__mask__3,-0.01386751
data__gallery__cyy1,data__mask__30,-0.06106137
data__gallery__cyy1,data__mask__31,-0.10595639
data__gallery__cyy1,data__mask__32,0.01120646
data__gallery__cyy1,data__mask__33,-0.09854598
data__gallery__cyy1,data__mask__34,-0.13881174
data__gallery__cyy1,data__mask__35,0.06814004
data__gallery__cyy1,data__mask__36,0.09424338
data__gallery__cyy1,data__mask__37,-0.07389727
data__gallery__cyy1,data__mask__38,-0.02051774
data__gallery__cyy1,data__mask__39,0.03720277
data__gallery__cyy1,data__mask__4,-0.02730051
data__gallery__cyy1,data__mask__40,0.05625467
data__gallery__cyy1,data__mask__41,-0.03484290
data__gallery__cyy1,data__mask__5,-0.01636949
data__gallery__cyy1,data__mask__6,-0.04100321
data__gallery__cyy1,data__mask__7,-0.05862072
data__gallery__cyy1,data__mask__8,0.02468533
data__gallery__cyy1,data__mask__9,-0.01526963
data__gallery__cyy2,data__gallery__cyy3,-0.01091337
data__gallery__cyy2,data__gallery__cyy4,0.17383453
data__gallery__cyy2,data__mask__1,-0.09523559
data__gallery__cyy2,data__mask__10,0.13570550
data__gallery__cyy2,data__mask__11,0.09148680
data__gallery__cyy2,data__mask__12,0.03740649
data__gallery__cyy2,data__mask__13,0.11966409
data__gallery__cyy2,data__mask__14,0.03893740
data__gallery__cyy2,data__mask__15,-0.02064676
data__gallery__cyy2,data__mask__16,0.04230821
data__gallery__cyy2,data__mask__17,0.08905549
data__gallery__cyy2,data__mask__18,0.08238472
data__gallery__cyy2,data__mask__19,0.09693900
data__gallery__cyy2,data__mask__2,0.10128257
data__gallery__cyy2,data__mask__20,0.10645075
data__gallery__cyy2,data__mask__21,0.12902258
data__gallery__cyy2,data__mask__22,0.18721327
data__gallery__cyy2,data__mask__23,0.27675644
data__gallery__cyy2,data__mask__24,0.11847825
data__gallery__cyy2,data__mask__25,0.10810600
data__gallery__cyy2,data__mask__26,0.09336995
data__gallery__cyy2,data__mask__27,0.08494004
data__gallery__cyy2,data__mask__28,-0.00545589
data__gallery__cyy2,data__mask__29,0.10111996
data__gallery__cyy2,data__mask__3,0.01210132
